group_and_title,distance_class,dist_class_len,mean_luminance,max_luminance,min_luminance
group1_HAMEN_serving_table_01,0.0179,119,0.9599,0.9913,0.9223
group1_HAMEN_serving_table_01,0.0684,623,0.9039,0.9805,0.8319
group1_HAMEN_serving_table_01,0.1185,932,0.8421,0.9399,0.765
group1_HAMEN_serving_table_01,0.1685,1121,0.7843,0.8812,0.7127
group1_HAMEN_serving_table_01,0.2186,1601,0.7378,0.8544,0.6496
group1_HAMEN_serving_table_01,0.2686,1880,0.6964,0.8187,0.6021
group1_HAMEN_serving_table_01,0.3187,2017,0.6506,0.7734,0.5567
group1_HAMEN_serving_table_01,0.3687,2244,0.6105,0.7265,0.5255
group1_HAMEN_serving_table_01,0.4188,2390,0.5743,0.6954,0.4886
group1_HAMEN_serving_table_01,0.4689,2415,0.54,0.7065,0.4485
group1_HAMEN_serving_table_01,0.5189,2311,0.5054,0.6539,0.4229
group1_HAMEN_serving_table_01,0.569,2204,0.4721,0.6378,0.3942
group1_HAMEN_serving_table_01,0.619,2156,0.4467,0.6484,0.3628
group1_HAMEN_serving_table_01,0.669,2331,0.4284,0.6202,0.3362
group1_HAMEN_serving_table_01,0.7191,2433,0.4105,0.6144,0.3137
group1_HAMEN_serving_table_01,0.7691,2474,0.3873,0.5725,0.2912
group1_HAMEN_serving_table_01,0.8191,2517,0.3613,0.5502,0.2691
group1_HAMEN_serving_table_01,0.8692,2523,0.335,0.4983,0.241
group1_HAMEN_serving_table_01,0.9192,2551,0.3109,0.4607,0.2288
group1_HAMEN_serving_table_01,0.9693,2501,0.2901,0.4162,0.2153
group1_HAMEN_serving_table_01,1.0193,2468,0.2706,0.3836,0.1947
group1_HAMEN_serving_table_01,1.0694,2342,0.2528,0.3542,0.178
group1_HAMEN_serving_table_01,1.1194,2193,0.2346,0.3312,0.1688
group1_HAMEN_serving_table_01,1.1694,2138,0.2172,0.3023,0.1531
group1_HAMEN_serving_table_01,1.2194,2039,0.1995,0.2789,0.1386
group1_HAMEN_serving_table_01,1.2694,1922,0.1829,0.2562,0.1276
group1_HAMEN_serving_table_01,1.3195,1834,0.1677,0.251,0.1187
group1_HAMEN_serving_table_01,1.3695,1774,0.1535,0.2329,0.1072
group1_HAMEN_serving_table_01,1.4195,1743,0.1406,0.2087,0.0978
