tolerance,group_and_title,n_distance_classes,predom_dist_class,n_luminance_classes,predom_lum_class
0.05,group1_HAMEN_serving_table_01,59,0.9192,20,0.0506
0.05,group1_HAMEN_serving_table_02,60,0.7627,20,0
0.05,group1_HAMEN_still-life,59,1.5316,19,0
0.05,group1_HAMEN_still_life_with_a_puppy,60,1.0535,20,0
0.05,group1_HAMEN_still_life_with_flowers_and_a_dog,60,2.0571,20,0
0.05,group1_HEDA_breakfast_of_crab,59,1.0533,20,0.0001
0.05,group1_HEDA_still-life_01,59,1.1849,20,0.0001
0.05,group1_HEDA_still-life_02,60,1.4904,20,0
0.05,group1_HEDA_still-life_with_ham_bread_and_precious_vessels,60,1.4094,20,0
0.05,group1_HEDA_still-life_with_pie_silver_ewer_and_crab,60,0.503,20,0
0.05,group1_LINARD_basket_of_flowers,60,0.5067,20,0
0.05,group1_LINARD_bouquet_on_wooden_box,60,1.3617,20,0
0.05,group1_LINARD_chinese_bowl_with_lowers,60,1.0535,20,0
0.05,group1_LINARD_the_five_senses,60,0.8034,20,0
0.05,group1_LINARD_the_five_senses_and_the_four_elements,60,1.0402,20,0
0.05,group2_CHARDIN_a_vase_of_flowers,60,1.2533,20,0.0503
0.05,group2_CHARDIN_still-life_with_a_white_mug,54,1.9709,14,0
0.05,group2_CHARDIN_the_attributes_of_art,58,1.8356,18,0
0.05,group2_CHARDIN_the_buffet,57,1.7059,17,0
0.05,group2_CHARDIN_the_ray,60,1.2214,20,0
0.05,group2_RUYSCH_bouquet_in_a_glass_vase,60,1.5517,20,0
0.05,group2_RUYSCH_bouquet_of_flowers_in_a_vase,60,1.8597,20,0
0.05,group2_RUYSCH_flowers_fruit_and_insects,57,1.4165,17,0
0.05,group2_RUYSCH_flowers_on_a_tree_trunk,60,1.1016,20,0
0.05,group2_RUYSCH_still-life,59,1.8449,20,0.0002
0.05,group2_VERBRUGGEN_cartouche_with_flowers,59,1.0535,20,0.0007
0.05,group2_VERBRUGGEN_flower_piece,60,0.6508,20,0
0.05,group2_VERBRUGGEN_garland_of_flowers,60,1.5538,20,0
0.05,group2_VERBRUGGEN_still-life,58,1.6254,19,0.0513
0.05,group2_VERBRUGGEN_still-life_of_flowers_in_a_stone_urn_with_a_parrot,59,1.6871,20,0.0501
0.05,group3_GOGH_a_pair_of_leather_clogs,56,1.2715,15,0
0.05,group3_GOGH_blossoming_almond_branch_in_a_glass,60,0.5006,20,0.1005
0.05,group3_GOGH_still-life_with_lemons_on_a_plate,60,0.967,20,0.2005
0.05,group3_GOGH_vase_with_fourteen_sunflowers,59,0.9864,20,0.0002
0.05,group3_GOGH_vase_with_red_poppies,60,1.4037,20,0.0501
0.05,group3_MANET_branch_of_white_peonies_and_secateurs,60,0.3505,20,0
0.05,group3_MANET_bunch_of_violets,60,1.5515,20,0
0.05,group3_MANET_bundle_of_asparagus,60,0.8289,20,0
0.05,group3_MANET_still-life,60,1.3036,20,0
0.05,group3_MANET_still-life_with_fish,60,0.7009,20,0
0.05,group3_MONET_bouquet_of_flowers,60,0.9251,20,0
0.05,group3_MONET_bouquet_of_sunflowers,60,0.9111,20,0.0501
0.05,group3_MONET_jerusalem_artichoke_flowers,60,0.7635,20,0
0.05,group3_MONET_still-life_with_melon,60,0.8571,20,0
0.05,group3_MONET_still-life_with_pears_and_grapes,60,1.1013,20,0
