group_and_title,luminance_class,lum_class_length,mean_distance,max_distance,min_distance,dist_class_span
group1_HAMEN_serving_table_01,0.0005,6716,2.2556,2.9535,1.8187,(2.9318 - 1.7698)
group1_HAMEN_serving_table_01,0.0506,7708,1.7664,2.1088,1.4538,(2.0701 - 1.4195)
group1_HAMEN_serving_table_01,0.1007,7706,1.5042,1.8885,1.2203,(1.8699 - 1.2194)
group1_HAMEN_serving_table_01,0.1508,6418,1.3051,1.6562,1.0518,(1.6197 - 1.0193)
group1_HAMEN_serving_table_01,0.2008,6251,1.1447,1.4426,0.8971,(1.4195 - 0.8692)
group1_HAMEN_serving_table_01,0.2508,6110,1.0186,1.3202,0.7998,(1.3195 - 0.7691)
group1_HAMEN_serving_table_01,0.3009,5510,0.9079,1.1726,0.681,(1.1694 - 0.669)
group1_HAMEN_serving_table_01,0.351,4901,0.8015,1.0765,0.6011,(1.0694 - 0.569)
group1_HAMEN_serving_table_01,0.401,4468,0.7048,1.0042,0.5121,(0.9693 - 0.4689)
group1_HAMEN_serving_table_01,0.4511,3987,0.6262,0.9349,0.4421,(0.9192 - 0.4188)
group1_HAMEN_serving_table_01,0.5012,3843,0.5463,0.8586,0.3828,(0.8191 - 0.3687)
group1_HAMEN_serving_table_01,0.5512,3523,0.4681,0.8173,0.3215,(0.7691 - 0.3187)
group1_HAMEN_serving_table_01,0.6013,2725,0.3925,0.7211,0.2672,(0.7191 - 0.2186)
group1_HAMEN_serving_table_01,0.6513,2288,0.3262,0.5617,0.2235,(0.5189 - 0.2186)
group1_HAMEN_serving_table_01,0.7013,1861,0.271,0.4751,0.1767,(0.4689 - 0.1685)
group1_HAMEN_serving_table_01,0.7514,1361,0.2208,0.3434,0.1396,(0.3187 - 0.1185)
group1_HAMEN_serving_table_01,0.8014,900,0.168,0.274,0.1077,(0.2686 - 0.0684)
group1_HAMEN_serving_table_01,0.8514,641,0.1222,0.2304,0.0765,(0.2186 - 0.0684)
group1_HAMEN_serving_table_01,0.9018,327,0.0893,0.1564,0.0319,(0.1185 - 0.0179)
group1_HAMEN_serving_table_01,0.952,121,0.0604,0.1135,0.0179,(0.0684 - 0.0179)
group1_HAMEN_serving_table_02,0,10101,2.2667,3,1.7434,(2.9766 - 1.7136)
group1_HAMEN_serving_table_02,0.0501,7784,1.6995,2.0632,1.4148,(2.0139 - 1.4134)
group1_HAMEN_serving_table_02,0.1002,5012,1.4103,1.6593,1.1663,(1.6135 - 1.1631)
group1_HAMEN_serving_table_02,0.1503,4302,1.2017,1.5026,1.0023,(1.4634 - 0.963)
group1_HAMEN_serving_table_02,0.2003,4207,1.0365,1.2934,0.8614,(1.2632 - 0.8128)
group1_HAMEN_serving_table_02,0.2503,4110,0.9046,1.1289,0.739,(1.1131 - 0.7127)
group1_HAMEN_serving_table_02,0.3004,3831,0.799,1.0053,0.6494,(0.963 - 0.6126)
group1_HAMEN_serving_table_02,0.3505,3168,0.7056,0.9117,0.5539,(0.8628 - 0.5126)
group1_HAMEN_serving_table_02,0.4005,2714,0.6236,0.8371,0.4795,(0.8128 - 0.4625)
group1_HAMEN_serving_table_02,0.4506,2357,0.5492,0.7502,0.4088,(0.7127 - 0.3624)
group1_HAMEN_serving_table_02,0.5006,1886,0.4787,0.701,0.3537,(0.6627 - 0.3123)
group1_HAMEN_serving_table_02,0.5507,1479,0.4167,0.6322,0.2938,(0.6126 - 0.2623)
group1_HAMEN_serving_table_02,0.6007,1168,0.3529,0.5614,0.2468,(0.5126 - 0.212)
group1_HAMEN_serving_table_02,0.6508,856,0.2911,0.5036,0.1994,(0.4625 - 0.1612)
group1_HAMEN_serving_table_02,0.7009,636,0.2306,0.4477,0.1531,(0.4125 - 0.1101)
group1_HAMEN_serving_table_02,0.7509,496,0.1773,0.3802,0.1125,(0.3624 - 0.1101)
group1_HAMEN_serving_table_02,0.801,389,0.1292,0.3128,0.0809,(0.3123 - 0.06)
group1_HAMEN_serving_table_02,0.8511,274,0.0907,0.1858,0.0521,(0.1612 - 0.0099)
group1_HAMEN_serving_table_02,0.9011,143,0.0562,0.1684,0.0199,(0.1612 - 0.0099)
